SALE_TYPE,SOLD_DATE,PROPERTY_TYPE,ADDRESS,CITY,STATE_OR_PROVINCE,ZIP_OR_POSTAL_CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE_FEET,LOT_SIZE,YEAR_BUILT,DAYS_ON_MARKET,Per_SQUARE_FEET,HOA_MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,December-4-2020,Single Family Residential,95 Peregrine Rd,Newton,MA,2459,1090000,3,3,Newton,2969,15014,1967,19,367,,Sold,,,http://www.redfin.com/MA/Newton/95-Peregrine-Rd-02459/home/11486826,MLS PIN,72723436,N,Y,42.2957327,-71.1771803
PAST SALE,November-24-2020,Single Family Residential,503 California St,Newton,MA,2460,805000,3,2.5,Newton,1566,5582,1922,29,514,,Sold,,,http://www.redfin.com/MA/Newton/503-California-St-02460/home/11416040,MLS PIN,72721482,N,Y,42.3622414,-71.2087405
PAST SALE,December-4-2020,Single Family Residential,6 Valley Spring Rd,Newton,MA,2458,905000,4,2.5,Newton Corner,2532,6273,1953,19,357,,Sold,,,http://www.redfin.com/MA/Newton/6-Valley-Spring-Rd-02458/home/11499082,MLS PIN,72734897,N,Y,42.3457645,-71.1757414
PAST SALE,December-17-2020,Single Family Residential,650 Centre St,Newton,MA,2458,2660000,7,4.5,Newton Center,6748,26607,1902,6,394,,Sold,,,http://www.redfin.com/MA/Newton/650-Centre-St-02458/home/11473563,MLS PIN,72623790,N,Y,42.3489634,-71.1870431
PAST SALE,December-21-2020,Single Family Residential,19 Gray Birch Ter,Newton,MA,2460,1925000,4,4,West Newton,4200,20446,2007,2,458,,Sold,,,http://www.redfin.com/MA/Newton/19-Gray-Birch-Ter-02460/home/17179067,MLS PIN,72752876,N,Y,42.3493259,-71.212082
PAST SALE,December-17-2020,Single Family Residential,50 Jefferson St,Newton,MA,2458,965000,4,2.5,Newton,2232,3966,1870,6,432,,Sold,,,http://www.redfin.com/MA/Newton/50-Jefferson-St-02458/home/11470597,MLS PIN,72692798,N,Y,42.358481,-71.1834925
PAST SALE,December-2-2020,Single Family Residential,100 Gardner St,Newton,MA,2458,775000,2,1.5,Newton Corner,1344,5559,1851,21,577,,Sold,,,http://www.redfin.com/MA/Newton/100-Gardner-St-02458/home/11492998,MLS PIN,72738992,N,Y,42.3598234,-71.1933784
PAST SALE,November-24-2020,Single Family Residential,23 Marcellus Dr,Newton,MA,2459,1250000,3,2.5,Newton,2898,12420,1943,29,431,,Sold,,,http://www.redfin.com/MA/Newton/23-Marcellus-Dr-02459/home/11477978,MLS PIN,72706173,N,Y,42.3103992,-71.1983444
PAST SALE,November-25-2020,Single Family Residential,101 Falmouth Rd,Newton,MA,2465,815000,2,2,West Newton,1729,4171,1953,28,471,,Sold,,,http://www.redfin.com/MA/Newton/101-Falmouth-Rd-02465/home/11435489,MLS PIN,72739912,N,Y,42.3606723,-71.2301814
PAST SALE,November-25-2020,Single Family Residential,114 Derby St,Newton,MA,2465,900000,6,3,West Newton,3149,12616,1953,28,286,,Sold,,,http://www.redfin.com/MA/Newton/114-Derby-St-02465/home/11434638,MLS PIN,72747359,N,Y,42.3576256,-71.2284179
PAST SALE,December-18-2020,Single Family Residential,169 Mount Vernon St,Newton,MA,2465,1800000,5,3.5,West Newton,4000,12006,1912,5,450,,Sold,,,http://www.redfin.com/MA/Newton/169-Mt-Vernon-St-02465/home/11422170,MLS PIN,72732279,N,Y,42.3486799,-71.2169318
PAST SALE,December-14-2020,Single Family Residential,29 Sylvan Ave,Newton,MA,2465,3550000,4,3.5,West Newton,6430,30600,1920,9,552,,Sold,,,http://www.redfin.com/MA/Newton/29-Sylvan-Ave-02465/home/11429183,MLS PIN,72750200,N,Y,42.3425064,-71.2177672
