GENDER   SALARY
F          100
F           95
F          105
F          105
F          110
F           98
F          105
F          125
F          130
F          200
F          120
F          115
F          110
F          130
F          120
F          115
F          110
F          120
F          115
F          150
M          150
M          205
M          210
M          220
M          205
M          225
M          230
M          240
M          220
M          230
M          235
M          225
M          230
M          250
M          245
M          230
M          225
M          220
M          180
M          221
