              state      expadm        los     salary
         "Connecticut"       3328        7.8      16957
               "Maine"       2810        7.7      14317
       "Massachusetts"       4105        8.9      15696
                 "New"       2487        7.1      13542
               "Rhode"       3380        8.5      14947
             "Vermont"       2478        8.2      13432
            "Delaware"       2957        8.2      15717
          "Washington"       4612        8.7      18700
            "Maryland"       3210        8.3      15213
                 "New"       2712        8.4      15573
                 "New"       3607        9.7      16657
        "Pennsylvania"       3194        8.5      15256
            "Illinois"       3351          8      16872
             "Indiana"       2592        7.8      13946
            "Michigan"       3351          8      16635
                "Ohio"       3007        8.1      15492
           "Wisconsin"       2724        8.3      14951
                "Iowa"       2361          8      13579
              "Kansas"       2600        7.8      14107
           "Minnesota"       2730        9.4      14503
            "Missouri"       2915          8      14950
            "Nebraska"       2448        8.4      13584
               "North"       2277        8.6      13559
               "South"       2059        8.7      12508
             "Alabama"       2174        7.2      12834
            "Arkansas"       1859        6.6      12737
             "Florida"       2780        7.5      14840
             "Georgia"       2156        6.7      12923
            "Kentucky"       1974        6.7      13504
           "Louisiana"       2412        6.3      14169
         "Mississippi"       1772          7      11928
               "North"       2196        7.5      13070
               "South"       2134        7.4      12973
           "Tennessee"       2176        7.2      12923
            "Virginia"       2575        7.9      14107
                "West"       2248        7.2      13731
             "Arizona"       3101        6.5      15307
                 "New"       2626        6.7      14573
            "Oklahoma"       2425        6.5      13916
               "Texas"       2272        6.6      13847
            "Colorado"       2782        7.1      16618
               "Idaho"       2072        6.5      13211
             "Montana"       2152        8.3      14635
                "Utah"       2384        5.4      14192
             "Wyoming"       2009        5.5      14686
          "California"       3886        6.5      18611
              "Nevada"       3500        6.3      17898
              "Oregon"       2660        5.9      15578
          "Washington"       2524        5.7      15617
              "Alaska"       3633        5.9      23594
              "Hawaii"       2780        8.3      14758
